booking_state,sync_status,projection_lifecycle,participation_lifecycle,classification,owner,rationale,policy_ref
CONFIRMED,SYNCED,TOMBSTONED_SOFT,DECLINED,ILLEGAL_ALERT,sync-invariants,explicitly_reviewed_illegal_state_combination,structural
CONFIRMED,SYNCED,TOMBSTONED_HARD,NEEDS_ACTION,ILLEGAL_ALERT,sync-invariants,explicitly_reviewed_illegal_state_combination,structural
CONFIRMED,SYNCED,TOMBSTONED_HARD,ACCEPTED,ILLEGAL_ALERT,sync-invariants,explicitly_reviewed_illegal_state_combination,structural
CONFIRMED,SYNCED,TOMBSTONED_HARD,TENTATIVE,ILLEGAL_ALERT,sync-invariants,explicitly_reviewed_illegal_state_combination,structural
CONFIRMED,SYNCED,TOMBSTONED_HARD,DECLINED,ILLEGAL_ALERT,sync-invariants,explicitly_reviewed_illegal_state_combination,structural
CONFIRMED,FAILED,ACTIVE,NEEDS_ACTION,ILLEGAL_ALERT,sync-worker,confirmed_booking_sync_failed_with_active_projection,operational
CONFIRMED,FAILED,ACTIVE,ACCEPTED,ILLEGAL_ALERT,sync-worker,confirmed_booking_sync_failed_with_active_projection,operational
CONFIRMED,FAILED,ACTIVE,TENTATIVE,ILLEGAL_ALERT,sync-worker,confirmed_booking_sync_failed_with_active_projection,operational
CONFIRMED,FAILED,ACTIVE,DECLINED,ILLEGAL_ALERT,sync-worker,confirmed_booking_sync_failed_with_active_projection,operational
CONFIRMED,FAILED,TOMBSTONED_SOFT,NEEDS_ACTION,ILLEGAL_ALERT,sync-invariants,explicitly_reviewed_illegal_state_combination,structural
CONFIRMED,FAILED,TOMBSTONED_SOFT,ACCEPTED,ILLEGAL_ALERT,sync-invariants,explicitly_reviewed_illegal_state_combination,structural
CONFIRMED,FAILED,TOMBSTONED_SOFT,TENTATIVE,ILLEGAL_ALERT,sync-invariants,explicitly_reviewed_illegal_state_combination,structural
CONFIRMED,FAILED,TOMBSTONED_SOFT,DECLINED,ILLEGAL_ALERT,sync-invariants,explicitly_reviewed_illegal_state_combination,structural
CONFIRMED,FAILED,TOMBSTONED_HARD,NEEDS_ACTION,ILLEGAL_ALERT,sync-invariants,explicitly_reviewed_illegal_state_combination,structural
CONFIRMED,FAILED,TOMBSTONED_HARD,ACCEPTED,ILLEGAL_ALERT,sync-invariants,explicitly_reviewed_illegal_state_combination,structural
CONFIRMED,FAILED,TOMBSTONED_HARD,TENTATIVE,ILLEGAL_ALERT,sync-invariants,explicitly_reviewed_illegal_state_combination,structural
CONFIRMED,FAILED,TOMBSTONED_HARD,DECLINED,ILLEGAL_ALERT,sync-invariants,explicitly_reviewed_illegal_state_combination,structural
CANCELLED,PENDING,ACTIVE,NEEDS_ACTION,REPAIR_REQUIRED,reconcile-engine,terminal_booking_cannot_remain_externally_active,structural
CANCELLED,PENDING,ACTIVE,ACCEPTED,REPAIR_REQUIRED,reconcile-engine,terminal_booking_cannot_remain_externally_active,structural
CANCELLED,PENDING,ACTIVE,TENTATIVE,REPAIR_REQUIRED,reconcile-engine,terminal_booking_cannot_remain_externally_active,structural
CANCELLED,PENDING,ACTIVE,DECLINED,REPAIR_REQUIRED,reconcile-engine,terminal_booking_cannot_remain_externally_active,structural
CANCELLED,PENDING,TOMBSTONED_SOFT,NEEDS_ACTION,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CANCELLED,PENDING,TOMBSTONED_SOFT,ACCEPTED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CANCELLED,PENDING,TOMBSTONED_SOFT,TENTATIVE,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CANCELLED,PENDING,TOMBSTONED_SOFT,DECLINED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CANCELLED,PENDING,TOMBSTONED_HARD,NEEDS_ACTION,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CANCELLED,PENDING,TOMBSTONED_HARD,ACCEPTED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CANCELLED,PENDING,TOMBSTONED_HARD,TENTATIVE,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CANCELLED,PENDING,TOMBSTONED_HARD,DECLINED,LEGAL_TRANSIENT,sync-orchestrator,sync_pipeline_in_progress,operational
CANCELLED,PROCESSING,ACTIVE,NEEDS_ACTION,REPAIR_REQUIRED,reconcile-engine,terminal_booking_cannot_remain_externally_active,structural
CANCELLED,PROCESSING,ACTIVE,ACCEPTED,REPAIR_REQUIRED,reconcile-engine,terminal_booking_cannot_remain_externally_active,structural
